Latitude,Longitude,UTC,Pollutant,Concentration,Unit,Raw_Concentration,AQI,Category,Site_Name,Site_Agency,AQS_ID,Full_AWS_ID
47.562,-122.3405,2021-02-17T14:00:00Z,PM2.5,9.4,UG/M3,13,39,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T14:00:00Z,PM2.5,6.1,UG/M3,6.4,25,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T14:00:00Z,NO2,24,PPB,24.3,23,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-02-17T14:00:00Z,PM2.5,5.1,UG/M3,4,21,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.498535,-122.278385,2021-02-17T14:00:00Z,PM2.5,5.9,UG/M3,6.7,25,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.753633,-122.277192,2021-02-17T14:00:00Z,PM2.5,7.4,UG/M3,7.2,31,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-02-17T14:00:00Z,PM2.5,5.9,UG/M3,6,25,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-02-17T14:00:00Z,PM2.5,8,UG/M3,7,33,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.213551,-123.100807,2021-02-17T15:00:00Z,PM2.5,5,UG/M3,6.1,21,1,Shelton-W Franklin,Washington Department of Ecology,530450007,840530450007
47.029301,-122.821503,2021-02-17T15:00:00Z,PM2.5,5.8,UG/M3,6.7,24,1,Lacey-College St,Washington Department of Ecology,530670013,840530670013
47.592675,-122.627397,2021-02-17T15:00:00Z,PM2.5,6.2,UG/M3,6,26,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T15:00:00Z,PM2.5,6.5,UG/M3,7,27,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.22634,-122.46256,2021-02-17T15:00:00Z,NO2,25,PPB,25.1,24,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.2656,-122.3858,2021-02-17T15:00:00Z,PM2.5,5.9,UG/M3,8.1,25,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
47.562,-122.3405,2021-02-17T15:00:00Z,PM2.5,10.2,UG/M3,11,43,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T15:00:00Z,PM2.5,6.4,UG/M3,7.3,27,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T15:00:00Z,PM2.5,5,UG/M3,5,21,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.498535,-122.278385,2021-02-17T15:00:00Z,PM2.5,6.5,UG/M3,7.2,27,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.753633,-122.277192,2021-02-17T15:00:00Z,PM2.5,6.9,UG/M3,6.5,29,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-02-17T15:00:00Z,PM2.5,8.4,UG/M3,11,35,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-02-17T15:00:00Z,PM2.5,7.5,UG/M3,7,31,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.213551,-123.100807,2021-02-17T16:00:00Z,PM2.5,5,UG/M3,5,21,1,Shelton-W Franklin,Washington Department of Ecology,530450007,840530450007
47.029301,-122.821503,2021-02-17T16:00:00Z,PM2.5,5.4,UG/M3,5.1,23,1,Lacey-College St,Washington Department of Ecology,530670013,840530670013
47.592675,-122.627397,2021-02-17T16:00:00Z,PM2.5,6.1,UG/M3,6,25,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T16:00:00Z,PM2.5,6.2,UG/M3,6,26,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.2656,-122.3858,2021-02-17T16:00:00Z,PM2.5,6.1,UG/M3,6.4,25,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
